epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,19035,0.95811,0.7012,1.34508,0.88926,0.79456,0.85244,0.53301,0.97573,0.63749,1.32143,0.000119494,0.000119494,0.000119494
83,19175.5,0.96696,0.70234,1.35552,0.88889,0.76411,0.85238,0.5346,0.97948,0.64349,1.32702,0.000108822,0.000108822,0.000108822
84,19324.5,0.9678,0.70933,1.35558,0.83631,0.80119,0.85135,0.53813,0.94944,0.64209,1.31483,9.86659e-05,9.86659e-05,9.86659e-05
85,19475.6,0.96198,0.71794,1.34395,0.90072,0.77573,0.8521,0.53161,0.98167,0.64228,1.32499,8.90352e-05,8.90352e-05,8.90352e-05
86,19687.2,0.84475,0.55135,1.24452,0.92641,0.76089,0.85078,0.5351,0.96912,0.63249,1.31428,7.99397e-05,7.99397e-05,7.99397e-05
87,19832.1,0.83805,0.53013,1.24577,0.91117,0.76271,0.85472,0.53351,0.97934,0.62707,1.32269,7.13883e-05,7.13883e-05,7.13883e-05
88,20021.1,0.85773,0.55229,1.25364,0.91438,0.75445,0.85461,0.53668,0.98416,0.63144,1.32351,6.33893e-05,6.33893e-05,6.33893e-05
89,20197.2,0.84537,0.54549,1.25751,0.86547,0.78886,0.86108,0.54174,0.98263,0.63356,1.3272,5.59508e-05,5.59508e-05,5.59508e-05
90,20341.1,0.84366,0.54419,1.24948,0.91686,0.77497,0.86564,0.54085,0.96197,0.62427,1.3188,4.908e-05,4.908e-05,4.908e-05
91,20522.6,0.83901,0.53319,1.24913,0.94177,0.75948,0.85718,0.53666,0.96366,0.62009,1.31701,4.27838e-05,4.27838e-05,4.27838e-05
92,20700.8,0.83013,0.52761,1.23577,0.91596,0.77148,0.86336,0.54622,0.95977,0.62056,1.31628,3.70683e-05,3.70683e-05,3.70683e-05
93,20851.7,0.83747,0.53618,1.24449,0.92971,0.7688,0.8639,0.54554,0.96001,0.62223,1.31401,3.19392e-05,3.19392e-05,3.19392e-05
94,20997,0.81174,0.52295,1.22114,0.94798,0.75898,0.86454,0.54428,0.9461,0.60934,1.31377,2.74015e-05,2.74015e-05,2.74015e-05
95,21173.8,0.82266,0.52209,1.22675,0.9359,0.76989,0.86268,0.54058,0.94571,0.61676,1.31537,2.34598e-05,2.34598e-05,2.34598e-05
96,21328.4,0.83081,0.52988,1.23495,0.93719,0.76402,0.86093,0.54237,0.96081,0.61415,1.3175,2.01178e-05,2.01178e-05,2.01178e-05
97,21469.1,0.8232,0.52193,1.23083,0.92392,0.76378,0.85735,0.54104,0.95629,0.61187,1.31383,1.7379e-05,1.7379e-05,1.7379e-05
98,21611.8,0.81453,0.52407,1.22084,0.91862,0.76909,0.85699,0.53738,0.95381,0.61754,1.31399,1.5246e-05,1.5246e-05,1.5246e-05
99,21769.1,0.80567,0.52196,1.21574,0.92783,0.76858,0.86159,0.54209,0.9439,0.61352,1.3131,1.3721e-05,1.3721e-05,1.3721e-05
100,21937.7,0.81406,0.52346,1.22709,0.94174,0.76803,0.85845,0.53914,0.94525,0.61265,1.3126,1.28053e-05,1.28053e-05,1.28053e-05
